epoch,acc,loss,val_acc,val_auc,val_f1,val_loss,val_precisions,val_recall
0,0.8624121718765345,0.6932829242055121,0.9716531743759274,0.4999477923772875,0.0,0.2540265536678791,0.9443093823914331,0.9716531743759274
1,0.8680637965440011,0.5723392725507133,0.9678267433688211,0.5235487261191712,0.04977375565610861,0.30164924168613416,0.947966044370898,0.9678267433688211
2,0.8729184864538954,0.5383180361051759,0.9650935783637452,0.5311246757187418,0.05620287868403016,0.2651561542984336,0.9477100626110643,0.9650935783637452
3,0.8761967071657132,0.5149461603343144,0.9666553869380743,0.5319100932070623,0.06,0.252217303069102,0.9476363848397235,0.9666553869380743
4,0.8786953934430425,0.49834726557481107,0.9631933779316448,0.5503200042450253,0.08955223880597014,0.3093151181573985,0.949073042199783,0.9631933779316448
5,0.88166388841791,0.484776983447553,0.9655360907931384,0.5420928660953991,0.08338937457969064,0.26631353463542473,0.9491833081653647,0.9655360907931384
6,0.8845105811390741,0.4720595721472057,0.9651456386495562,0.5289123344834288,0.06181318681318682,0.24830179861522364,0.9479533646431905,0.9651456386495562
7,0.8870579883162253,0.4602827990786392,0.9625165942161023,0.5401261367192923,0.09405940594059405,0.24196720010961154,0.9501924549383152,0.9625165942161023
8,0.8887284192523988,0.45124031004465753,0.9609808157846786,0.5863675256527425,0.14782608695652175,0.2612911479198868,0.9537809595153838,0.9609808157846786
9,0.8909521804383228,0.44322538119722393,0.9627768956451571,0.5711568592691318,0.14393499709808472,0.2650627561954437,0.9533016997225795,0.9627768956451571
10,0.8921458425437004,0.4349852674566252,0.9627768956451571,0.5702587645822321,0.1558891454965358,0.22114115275587473,0.9548624001918047,0.9627768956451571
11,0.8929914982048284,0.430428517906646,0.9649373975063124,0.5543321734486801,0.12809131261889664,0.25401019147686293,0.9526861979839709,0.9649373975063124
12,0.8946932497208516,0.42232360398397545,0.959549157924877,0.5798324240878531,0.1425531914893617,0.3110093088634346,0.9523617977719122,0.959549157924877
13,0.895378822417658,0.41731024342233064,0.9580394096363589,0.5942953877430416,0.17296222664015903,0.25768424652441785,0.9547011409565045,0.9580394096363589
14,0.8963567205295756,0.41275738542345625,0.9562693599187859,0.6090784353193676,0.180028129395218,0.2428231590334149,0.955151923373422,0.9562693599187859
15,0.8967812883925724,0.40778593003093755,0.957935289064737,0.59065896310994,0.1678321678321678,0.27090376567892704,0.9547112094457398,0.957935289064737
16,0.8975817032154252,0.40365838044622765,0.9635317697894161,0.553178028297306,0.11815384615384615,0.25826885386384885,0.95212686185246,0.9635317697894161
17,0.8984865199726315,0.39875941255396785,0.9608246349272458,0.5916700618654621,0.1816261879619852,0.23386419799676197,0.954442267038874,0.9608246349272458
18,0.8994087370529216,0.3965582154684037,0.9608766952130567,0.5881102848577565,0.1728922091782284,0.2344612838991275,0.9536213583269222,0.9608766952130567
19,0.8999272666558824,0.39249388183095957,0.9559309680610146,0.6008537726367581,0.15531205335874224,0.2712422710457129,0.9547357877666194,0.9559309680610146
20,0.9006337197404306,0.3899095051830432,0.9603300622120415,0.5842591710435776,0.16,0.24337204969087237,0.9535878691361238,0.9603300622120415
21,0.9016394583646358,0.3855001318186165,0.9601218210687976,0.5854917894682836,0.1678100263852243,0.2620273616103735,0.9534236431508483,0.9601218210687976
22,0.9017925812002632,0.38349189078084195,0.9556186063461488,0.6172574575852403,0.18389752973467519,0.25008413497302606,0.9553337755001828,0.9556186063461488
23,0.9028748812457046,0.38017559030190073,0.9542650389150636,0.607176318427927,0.16393442622950818,0.26378511204595295,0.9545145261855704,0.9542650389150636
24,0.9032194076257108,0.37716385108692013,0.9623604133586693,0.5910974894151175,0.17882611080636313,0.24367054034971194,0.9547941050922918,0.9623604133586693
25,0.9034630121380962,0.37469306476192904,0.956920113491423,0.6067231111421025,0.15458937198067635,0.2676308477837499,0.9546754755087331,0.956920113491423
26,0.9046740745657278,0.3730883671450157,0.9590285550667673,0.6015149411402964,0.17496229260935145,0.24401066975184338,0.9550972224497564,0.9590285550667673
27,0.9047297555971479,0.3714236001362138,0.9623343832157638,0.5875019642361539,0.16943521594684385,0.23957545304188554,0.9536765152551094,0.9623343832157638
