epoch,loss,output2_acc,output2_loss,output_acc,output_loss,val_acc,val_auc,val_f1,val_loss,val_output2_acc,val_output2_loss,val_output_acc,val_output_loss,val_precisions,val_recall
0,0.9511647337800194,0.8847785461009554,0.29885062082781727,0.866529088121616,0.6523141127298393,0.962881016216779,0.5644905590650384,0.10891681627767803,0.3910154566988374,0.9410677564627588,0.17075678786615306,0.9628810162175548,0.22025866707946967,0.9505774017905148,0.962881016216779
1,0.7684749975496061,0.9056589328061321,0.24560456815485074,0.8779054188108455,0.5228704295516747,0.9663950855090194,0.5349174073556751,0.07017543859649124,0.31838278839706513,0.9567899627776714,0.13359616126845852,0.9663950855097952,0.1847866290928277,0.9496771740592873,0.9663950855090194
2,0.7328020301829,0.909591405635114,0.23546751645680145,0.8818970527363206,0.49733451404756013,0.9618137803576542,0.5599242599370957,0.10241318422601531,0.3397725883129595,0.9492672514795378,0.14778481764917145,0.9618137803599814,0.19198777004318104,0.9519081527727895,0.9618137803576542
3,0.7081707050165005,0.9122084141014886,0.22883773887892275,0.884364418431311,0.47933296613094,0.9618137803576542,0.5724590538127957,0.11277330264672038,0.32087774392414536,0.9538745867738087,0.13524799884431524,0.9618137803599814,0.1856297452008485,0.9541915596279468,0.9618137803576542
4,0.6891624210104029,0.9145261370265468,0.22344849499420363,0.8865220583920477,0.4657139255321142,0.9605383033552854,0.5892860360587537,0.1104428649535265,0.3334904108147527,0.9484603170494679,0.14362627527406388,0.9605383033576127,0.1898641366050298,0.9529341070904808,0.9605383033552854
5,0.6706458517325006,0.916530654150204,0.21828724917973655,0.8888467414453852,0.4523586023901404,0.9591066454954837,0.5930423544752319,0.1225130890052356,0.3567010802089676,0.9420048416089077,0.15710856594162947,0.959106645497811,0.19959251589643145,0.9533696686091343,0.9591066454954837
6,0.6587134010046672,0.917477231680405,0.2151625205607622,0.8903431691588116,0.4435508804728412,0.957779108207304,0.6026709582729776,0.1533135509396637,0.34600777919832937,0.9442174037558739,0.15200028193097206,0.9577791082096313,0.1940074975528365,0.9537261476766618,0.957779108207304
7,0.6475993344681072,0.9188135764295097,0.21228150751522393,0.8917943560339628,0.4353178265003273,0.961969961215087,0.5882151363256953,0.14349276974416017,0.31681790344296273,0.9519223260558973,0.13587604416283394,0.9619699612174143,0.1809418605120336,0.9534742501032322,0.961969961215087
8,0.6360449171093333,0.9197845144114886,0.20896847788438755,0.8936074696128263,0.42707643944777524,0.961215087070828,0.5726109737096203,0.11551528878822198,0.3331712399367617,0.944764036756889,0.14813647184682996,0.9612150870731553,0.1850347684436777,0.952289621407018,0.961215087070828
9,0.6261960495880294,0.9209677363243436,0.20617880320975981,0.8949994953939735,0.4200172462763187,0.9612411172137335,0.5609823175535129,0.09540430482838859,0.3168693781736867,0.949970065337986,0.1371885467631275,0.9612411172160608,0.1796808295735626,0.9515890606007601,0.9612411172137335
10,0.618339540041357,0.9219421543703583,0.20410463189231476,0.8962001176282527,0.4142349085378142,0.9611109664992061,0.5636034194490608,0.10465784933870038,0.3273760107116715,0.9500741859096079,0.14249908497435493,0.9611109665015334,0.18487692537736455,0.9508301333234761,0.9611109664992061
11,0.609778123496762,0.9228678515150992,0.20161687748556972,0.8966838465879502,0.4081612455631477,0.9622042325012364,0.5816152516131196,0.13068181818181818,0.31821245481492727,0.9526772001986048,0.1356090798849528,0.9622042325035637,0.18260337338466312,0.9519200131772284,0.9622042325012364
