epoch,acc,loss,val_acc,val_auc,val_f1,val_loss,val_precisions,val_recall
0,0.8649839395060859,0.6856656490151569,0.9707421193742354,0.5106854887570926,0.020671834625323,0.33863644339011384,0.9483164577421693,0.9707421193742354
1,0.8671972604969981,0.5937759809318351,0.970507848088086,0.5137012988695169,0.02876480541455161,0.2948584887611347,0.94807898119687,0.970507848088086
2,0.870190115923436,0.5516233714884597,0.9669156883671292,0.542340823678173,0.06219081272084806,0.27638243534776163,0.9489157468537397,0.9669156883671292
3,0.8745958775189704,0.5072530913478087,0.9645729755056355,0.5546001666270332,0.06740116655865198,0.2850561468282917,0.9490903614413234,0.9645729755056355
4,0.8797498529708032,0.46551637972443455,0.9609287554988677,0.5791840527697395,0.09147374364765667,0.2820322480874335,0.9505847621954767,0.9609287554988677
5,0.8856172416333893,0.4271575808230538,0.9511414217664055,0.6302286053200975,0.11688869789428448,0.2841767546107638,0.9534451798958734,0.9511414217664055
6,0.8917525952611756,0.39334706396519853,0.9434104693234766,0.6666383239073593,0.11342846688620564,0.3080201053909829,0.9553773156852214,0.9434104693234766
7,0.8967290874260179,0.3681994454366121,0.9365385115964286,0.6716955515291507,0.09330223258913696,0.31077254379230357,0.9555133131269961,0.9365385115964286
8,0.9006963608984706,0.345036215694606,0.9401306713173855,0.6663367076796544,0.10301331464611073,0.2809882576084492,0.9557501887703385,0.9401306713173855
9,0.9047784764992516,0.3292959694310798,0.9296665538693808,0.6964481148590013,0.0955794504181601,0.3057177457971551,0.957587482962793,0.9296665538693808
10,0.9077365312834633,0.31421476289244693,0.9254757008615977,0.6979288162512393,0.09261363636363637,0.3228984018477681,0.9575676308094844,0.9254757008615977
