epoch,acc,loss,val_acc,val_auc,val_f1,val_loss,val_precisions,val_recall
0,0.8746689588707777,0.5481976348239214,0.9604602129265689,0.5758097992294178,0.11314475873544093,0.18642376913173997,0.9511000412773949,0.9604602129265689
1,0.8998541853022083,0.3911683204950229,0.9488247390478174,0.6326539170671058,0.1473684210526316,0.20066858773415577,0.9548871155961586,0.9488247390478174
2,0.9140563283250674,0.3285376244490534,0.9500221256214697,0.6507303018526898,0.1641851106639839,0.19503527749387503,0.9566315395614925,0.9500221256214697
3,0.9241032743945086,0.2862428432140868,0.9559309680610146,0.6299577263621049,0.17842512517068732,0.16695473953714213,0.9560961826548335,0.9559309680610146
4,0.9320308612130016,0.25518383120217786,0.942733685607934,0.6931812613048014,0.18898708361658734,0.20705752011920808,0.9592037877785506,0.942733685607934
5,0.9382949772254673,0.22974943957620572,0.9496056433349819,0.6536558397959648,0.1493975903614458,0.1850266703465941,0.9562974453905673,0.9496056433349819
6,0.9433132301624746,0.20983394243049971,0.9543431293437801,0.6282673983094043,0.14581458145814583,0.1738744750357116,0.9552451805392257,0.9543431293437801
7,0.9478895149154756,0.19163946113548183,0.9460915740427415,0.6738344668767143,0.16248153618906944,0.20435756395437624,0.9575008702618572,0.9460915740427415
8,0.9511016144025211,0.1768946299888399,0.946013483614025,0.6858880779419245,0.1819494584837545,0.20368131956568328,0.958728723968973,0.946013483614025
9,0.9546199595626882,0.16319576423732038,0.9452325793268606,0.688175141079941,0.17179670722977808,0.21126066071830077,0.9587611899285863,0.9452325793268606
